groupName,groupTier,membershipDriverAttribute,membershipDriverValue,membershipMode,sharePointAccess,teamsAccess,mailboxAccess,appAccess,notes
AllStaff,Baseline,companyName,Delta Crown Extensions,Dynamic,"/sites/dce-hub:Read;/sites/dce-marketing:Read;/sites/dce-docs:Read","Delta Crown Operations Team:Member","operations@deltacrown.com:SendAs;bookings@deltacrown.com:SendAs+FullAccess;info@deltacrown.com:SendAs","<baseline-apps>",Baseline DCE access for all in-scope users
Managers,Baseline,jobTitle,"Manager|Director|VP|Vice President|Chief|President",Dynamic,"/sites/dce-hub:FullControl;/sites/dce-clientservices:FullControl;/sites/dce-marketing:FullControl;/sites/dce-docs:FullControl","Leadership Private Channel:Member","operations@deltacrown.com:FullAccess;info@deltacrown.com:FullAccess","<leadership-apps>",Short-term baseline leadership group while canonical role attributes stabilize
Marketing,Functional,extensionAttribute1,Marketing,Dynamic,/sites/dce-marketing:Edit,Marketing Channel:Member,,"<marketing-app-if-needed>",Current marketing edit pattern
Stylists,Functional,extensionAttribute1,Stylist,Dynamic,,,bookings@deltacrown.com:SendAs,"<stylist-app-if-needed>",Primarily supports mail routing and future stylist-targeted workloads
DCE-Operations,Functional,extensionAttribute1,Operations,Dynamic,/sites/dce-operations:TeamsManaged,"Delta Crown Operations Team:Member",operations@deltacrown.com:SendAs,"<operations-app-if-needed>",Operations collaboration group for the Teams-connected workload
DCE-ClientServices,Functional,extensionAttribute1,ClientServices,Dynamic,/sites/dce-clientservices:Contribute,Client Services Team/Channel:Member,bookings@deltacrown.com:SendAs,"<client-services-app-if-needed>",Preferred tightening for client services access
DCE-Leadership,Functional,extensionAttribute1,Leadership,Dynamic,"/sites/dce-hub:FullControl;/sites/dce-clientservices:FullControl;/sites/dce-docs:FullControl","Leadership Private Channel:Member","operations@deltacrown.com:FullAccess;info@deltacrown.com:FullAccess","<leadership-apps>",Canonical leadership group aligned to new attribute model
DCE-Loc-LV,Location,officeLocation,DCE-LV,Dynamic,"/sites/dce-docs:LV-library-scope-if-needed","<lv-channel-if-needed>","<lv-mailbox-if-needed>","<lv-app-if-needed>",Initial pilot location code for Tyler and likely operations-heavy users
DCE-Loc-PHX,Location,officeLocation,DCE-PHX,Dynamic,"/sites/dce-docs:PHX-library-scope-if-needed","<phx-channel-if-needed>","<phx-mailbox-if-needed>","<phx-app-if-needed>",Second location scaffold for future access segmentation
DCE-Loc-DAL,Location,officeLocation,DCE-DAL,Dynamic,"/sites/dce-docs:DAL-library-scope-if-needed","<dal-channel-if-needed>","<dal-mailbox-if-needed>","<dal-app-if-needed>",Third location scaffold for future access segmentation
DCE-CrossTenant-Pilot,Pilot,extensionAttribute3,DCE-CrossTenant-Test,Static,"/sites/dce-hub:Read;/sites/dce-docs:Read;/sites/dce-operations:TeamsManaged","Delta Crown Operations Team:Member;Leadership Private Channel:Member","operations@deltacrown.com:FullAccess;info@deltacrown.com:FullAccess","<pilot-app-if-needed>",Keep tiny and explicit during rollout; initial expected member is Tyler only
